Id,Label,timeset,modularity_class,pageranks,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
989Gabriel,989Gabriel,,0,0.000039,0,0,0,0,0,0,0
Farm_Pride,Farm_Pride,,0,0.000072,0,0,0,0,0,0,0
shahnaqi84,shahnaqi84,,0,0.000039,1,0,0,0,0,0,0
sitaravirgo,sitaravirgo,,0,0.000105,1,0,0,0,0,0,0
PaysCwt,PaysCwt,,0,0.000039,2,0,0,0,0,0,0
beckysargeant80,beckysargeant80,,7,0.000068,3,0,1,1,0,1,1
GMBWestMidlands,GMBWestMidlands,,7,0.000358,3,6,0,6,7,0,7
OficialBHTRANS,OficialBHTRANS,,0,0.000039,4,0,0,0,0,0,0
katecamil,katecamil,,7,0.000068,3,0,1,1,0,1,1
nypl,nypl,,7,0.005953,3,102,0,102,102,0,102
OBriainTweets,OBriainTweets,,0,0.000039,5,0,0,0,0,0,0
FoilArmsAndHog,FoilArmsAndHog,,0,0.0005,5,0,0,0,0,0,0
_pequenaa07,_pequenaa07,,1,0.000068,3,0,1,1,0,1,1
moonlnss,moonlnss,,1,0.009106,3,187,1,188,187,1,188
JTopKek,JTopKek,,0,0.000068,3,0,1,1,0,1,1
KFC_UKI,KFC_UKI,,0,0.061865,3,1077,0,1077,1077,0,1077
MachineGean,MachineGean,,0,0.000039,6,0,0,0,0,0,0
StarrcastEvents,StarrcastEvents,,0,0.000105,6,0,0,0,0,0,0
syusukesyafa,syusukesyafa,,4,0.000068,3,0,1,1,0,1,1
NASA,NASA,,4,0.046945,3,822,0,822,822,0,822
arnaupnow,arnaupnow,,6,0.000068,3,0,1,1,0,1,1
franjacr,franjacr,,6,0.000578,3,7,0,7,7,0,7
boxingepicenter,boxingepicenter,,0,0.000039,7,0,0,0,0,0,0
ChocCityComics,ChocCityComics,,0,0.000138,7,0,0,0,0,0,0
rick_froc,rick_froc,,1,0.000068,3,0,1,1,0,1,1
xiurafael,xiurafael,,1,0.005157,3,124,0,124,124,0,124
bohobanshees,bohobanshees,,0,0.000039,8,0,0,0,0,0,0
Twiggypeasticks,Twiggypeasticks,,0,0.000105,8,0,0,0,0,0,0
Yuriimoraess_,Yuriimoraess_,,1,0.000068,3,0,1,1,0,1,1
africanize_,africanize_,,1,0.015042,3,291,0,291,291,0,291
Xenopussy,Xenopussy,,0,0.000039,9,0,0,0,0,0,0
EmporersNewC,EmporersNewC,,0,0.000072,9,0,0,0,0,0,0
ripalda76,ripalda76,,6,0.000068,3,0,1,1,0,1,1
VictorGonz54,VictorGonz54,,6,0.002861,3,50,0,50,50,0,50
MarkLRandall,MarkLRandall,,3,0.000068,3,0,2,2,0,2,2
Shoppingforgift,Shoppingforgift,,3,0.000097,3,1,1,2,1,1,2
So_Lippy,So_Lippy,,3,0.001625,3,36,0,36,39,0,39
zaleja6,zaleja6,,0,0.000039,10,0,0,0,0,0,0
muyinteresante,muyinteresante,,0,0.000105,10,0,0,0,0,0,0
molkenning,molkenning,,0,0.000068,3,0,1,1,0,1,1
om2kool,om2kool,,0,0.000039,11,0,0,0,0,0,0
wrestlelamia,wrestlelamia,,0,0.000105,11,0,0,0,0,0,0
Chica_Chubb,Chica_Chubb,,0,0.000039,12,0,0,0,0,0,0
OutofPrintTees,OutofPrintTees,,0,0.000072,12,0,0,0,0,0,0
kagiso_Chokoe,kagiso_Chokoe,,7,0.000068,3,0,1,1,0,1,1
BudweiserSA,BudweiserSA,,7,0.013914,3,244,0,244,251,0,251
hloniscott,hloniscott,,7,0.000068,3,0,1,1,0,1,1
PieterReparon,PieterReparon,,0,0.000039,13,0,0,0,0,0,0
hetiswa,hetiswa,,0,0.000072,13,0,0,0,0,0,0
Delice_DesignJS,Delice_DesignJS,,0,0.000039,14,0,0,0,0,0,0
DeliceFranceFS,DeliceFranceFS,,0,0.000055,14,0,0,0,0,0,0
DeliceRetail,DeliceRetail,,0,0.000055,14,0,0,0,0,0,0
MorenoRommer,MorenoRommer,,0,0.000039,15,0,0,0,0,0,0
PrensaRank,PrensaRank,,0,0.000632,15,0,0,0,0,0,0
ALSLV12,ALSLV12,,6,0.000068,3,0,1,1,0,1,1
KeylinAcosta,KeylinAcosta,,6,0.001489,3,27,0,27,27,0,27
SilentSybil,SilentSybil,,0,0.000039,16,0,0,0,0,0,0
Shadowy_Whisper,Shadowy_Whisper,,0,0.000105,16,0,0,0,0,0,0
TooimpulsiveMyz,TooimpulsiveMyz,,7,0.000068,3,0,2,2,0,2,2
shaunwkeaveny,shaunwkeaveny,,7,0.001291,3,28,0,28,28,0,28
trouteyes,trouteyes,,7,0.000098,3,2,0,2,2,0,2
thaybutterfly,thaybutterfly,,0,0.000039,17,0,0,0,0,0,0
The100Brasil,The100Brasil,,0,0.000171,17,0,0,0,0,0,0
KelseyRaiyne,KelseyRaiyne,,0,0.000068,3,0,1,1,0,1,1
AliCat2329,AliCat2329,,3,0.000068,3,0,1,1,0,1,1
boohoo,boohoo,,3,0.004031,3,75,0,75,75,0,75
GovtOfficially,GovtOfficially,,0,0.000039,18,0,0,0,0,0,0
qz,qz,,0,0.000072,18,0,0,0,0,0,0
Zarnie50,Zarnie50,,0,0.000039,19,0,0,0,0,0,0
45HammerTime,45HammerTime,,0,0.001455,19,0,0,0,0,0,0
klundercita,klundercita,,0,0.000039,20,0,0,0,0,0,0
guillermopulid6,guillermopulid6,,0,0.000072,20,0,0,0,0,0,0
scrip64,scrip64,,2,0.000068,3,0,1,1,0,1,1
Inafr_officiel,Inafr_officiel,,2,0.005257,3,91,0,91,92,0,92
BabsHop1,BabsHop1,,3,0.000068,3,0,1,1,0,1,1
BookMinxSJV,BookMinxSJV,,3,0.006288,3,117,0,117,117,0,117
yerrxxsg,yerrxxsg,,0,0.000039,21,0,0,0,0,0,0
Nq_Revill,Nq_Revill,,0,0.000072,21,0,0,0,0,0,0
Green_Fret,Green_Fret,,7,0.000068,3,0,1,1,0,1,1
icequeenie,icequeenie,,3,0.000068,3,0,1,1,0,1,1
RightDealsUK,RightDealsUK,,3,0.002437,3,52,0,52,56,0,56
JimMongoose,JimMongoose,,5,0.000068,3,0,1,1,0,1,1
Teletai_Mpouk,Teletai_Mpouk,,5,0.001372,3,20,0,20,20,0,20
purplecatlover,purplecatlover,,3,0.000068,3,0,1,1,0,1,1
yorkiepuddings,yorkiepuddings,,0,0.000039,22,0,0,0,0,0,0
zazalevi,zazalevi,,0,0.000039,23,0,0,0,0,0,0
Der_Postillon,Der_Postillon,,0,0.000747,23,0,0,0,0,0,0
IamMariaHesse,IamMariaHesse,,0,0.000039,24,0,0,0,0,0,0
Kariatide_,Kariatide_,,0,0.000072,24,0,0,0,0,0,0
ifilmbands,ifilmbands,,7,0.000068,3,0,1,1,0,1,1
MadLabMMA,MadLabMMA,,0,0.000039,25,0,0,0,0,0,0
EliteFantasyHQ,EliteFantasyHQ,,0,0.000171,25,0,0,0,0,0,0
Tinerium,Tinerium,,0,0.000039,26,0,0,0,0,0,0
BastonluSerseri,BastonluSerseri,,0,0.000105,26,0,0,0,0,0,0
SCNewsIE,SCNewsIE,,0,0.000039,27,0,0,0,0,0,0
Frenger,Frenger,,0,0.000105,27,0,0,0,0,0,0
EMILIOMARINROIG,EMILIOMARINROIG,,0,0.000039,28,0,0,0,0,0,0
greenpeace_esp,greenpeace_esp,,0,0.000994,28,0,0,0,0,0,0
DealsAwsm,DealsAwsm,,0,0.000072,29,0,0,0,0,0,0
martesbg,martesbg,,4,0.000068,3,0,1,1,0,1,1
reconbot,reconbot,,7,0.000068,3,0,1,1,0,1,1
M5B1tch,M5B1tch,,7,0.000068,3,0,1,1,0,1,1
cmclymer,cmclymer,,7,0.019322,3,349,0,349,349,0,349
saya_pj,saya_pj,,4,0.000068,3,0,1,1,0,1,1
cityandski,cityandski,,0,0.000039,30,0,0,0,0,0,0
AdvParcSnowdon,AdvParcSnowdon,,0,0.000072,30,0,0,0,0,0,0
aBabyoongi_,aBabyoongi_,,1,0.000068,3,0,1,1,0,1,1
leticiasouza207,leticiasouza207,,1,0.002656,3,59,0,59,59,0,59
MurrWilliams,MurrWilliams,,0,0.000039,31,0,0,0,0,0,0
alloparadise,alloparadise,,0,0.00033,31,0,0,0,0,0,0
LeclercBonPlan,LeclercBonPlan,,0,0.000758,31,0,0,0,0,0,0
eBuyClub,eBuyClub,,0,0.000247,31,0,0,0,0,0,0
AngellJaunnae,AngellJaunnae,,0,0.000039,32,0,0,0,0,0,0
SymaChowdhry,SymaChowdhry,,0,0.000138,32,0,0,0,0,0,0
grancanaria1974,grancanaria1974,,6,0.000068,3,0,2,2,0,2,2
juanjetabarnes,juanjetabarnes,,6,0.000735,3,12,0,12,12,0,12
melimt_,melimt_,,6,0.003808,3,69,0,69,69,0,69
Bartancredi,Bartancredi,,0,0.000039,33,0,0,0,0,0,0
KayTsime,KayTsime,,0,0.000269,33,0,0,0,0,0,0
LarsOfTheStars,LarsOfTheStars,,7,0.000068,3,0,1,1,0,1,1
ODeceived,ODeceived,,1,0.000068,3,0,1,1,0,1,1
igoraraujojj,igoraraujojj,,1,0.001597,3,30,0,30,30,0,30
NewcastleNoir,NewcastleNoir,,0,0.000039,34,0,0,0,0,0,0
west_camel,west_camel,,0,0.000072,34,0,0,0,0,0,0
_rguimaraes,_rguimaraes,,1,0.000068,3,0,1,1,0,1,1
lisabonnet17,lisabonnet17,,2,0.000068,3,0,1,1,0,1,1
bettina_CLB,bettina_CLB,,0,0.000039,35,0,0,0,0,0,0
lookix,lookix,,0,0.000072,35,0,0,0,0,0,0
rich_t96,rich_t96,,0,0.000068,3,0,1,1,0,1,1
laurensperber,laurensperber,,7,0.000068,3,0,1,1,0,1,1
EugenioJfesp,EugenioJfesp,,1,0.006075,3,138,1,139,140,3,143
yasyaspm,yasyaspm,,1,0.000068,3,0,1,1,0,1,1
juliorheeis,juliorheeis,,1,0.016681,3,188,0,188,188,0,188
kimsalsan,kimsalsan,,0,0.000039,36,0,0,0,0,0,0
CryptoWild777,CryptoWild777,,0,0.000105,36,0,0,0,0,0,0
mondi_maisa,mondi_maisa,,7,0.000068,3,0,1,1,0,1,1
MissKeratilwe,MissKeratilwe,,7,0.003576,3,61,0,61,61,0,61
SporFlix,SporFlix,,0,0.000039,26,0,0,0,0,0,0
SESpezial,SESpezial,,0,0.000039,37,0,0,0,0,0,0
honeywell,honeywell,,0,0.000072,37,0,0,0,0,0,0
GlenThinksStuff,GlenThinksStuff,,0,0.000039,38,0,0,0,0,0,0
FakeHeadPod,FakeHeadPod,,0,0.000072,38,0,0,0,0,0,0
Maria_Akti,Maria_Akti,,5,0.000068,3,0,1,1,0,1,1
KokkinosAnemos,KokkinosAnemos,,5,0.000387,3,6,0,6,6,0,6
FranceDevOps,FranceDevOps,,0,0.000039,39,0,0,0,0,0,0
bleemeo,bleemeo,,0,0.000072,39,0,0,0,0,0,0
JPasku,JPasku,,0,0.000039,40,0,0,0,0,0,0
jordiobdotcom,jordiobdotcom,,0,0.000105,40,0,0,0,0,0,0
IntimateForest,IntimateForest,,4,0.000068,3,0,1,1,0,1,1
DebraMartz,DebraMartz,,0,0.000039,41,0,0,0,0,0,0
TMomPhotography,TMomPhotography,,0,0.000138,41,0,0,0,0,0,0
WhatSquinkyEye,WhatSquinkyEye,,0,0.000039,42,0,0,0,0,0,0
BJHeart89,BJHeart89,,0,0.000138,42,0,0,0,0,0,0
KMathioudaki,KMathioudaki,,0,0.000039,43,0,0,0,0,0,0
nprepalas,nprepalas,,0,0.000171,43,0,0,0,0,0,0
Lordsnooty27,Lordsnooty27,,3,0.000068,3,0,1,1,0,1,1
HarrowsDarts,HarrowsDarts,,3,0.006341,3,117,0,117,117,0,117
BrunaLouro3,BrunaLouro3,,1,0.000068,3,0,1,1,0,1,1
eamah__,eamah__,,1,0.000068,3,0,1,1,0,1,1
apocalipsezumby,apocalipsezumby,,1,0.00306,3,84,1,85,84,1,85
Jorden21Digital,Jorden21Digital,,0,0.000039,44,0,0,0,0,0,0
21Digital_Ltd,21Digital_Ltd,,0,0.000072,44,0,0,0,0,0,0
UpKamily,UpKamily,,1,0.000068,3,0,14,14,0,14,14
mvppaixao,mvppaixao,,1,0.00235,3,57,0,57,57,0,57
Joan_Edgley,Joan_Edgley,,1,0.002914,3,76,0,76,81,0,81
kim_miori,kim_miori,,1,0.000712,3,25,0,25,26,0,26
MelbiLauu,MelbiLauu,,1,0.000211,3,5,0,5,5,0,5
JosAlex89,JosAlex89,,1,0.001447,3,40,0,40,40,0,40
Ju_zak,Ju_zak,,1,0.00067,3,14,0,14,14,0,14
tiagoferres,tiagoferres,,1,0.00276,3,61,0,61,61,0,61
MrAlexOllie,MrAlexOllie,,1,0.001162,3,37,0,37,37,0,37
peduardoreal,peduardoreal,,1,0.000684,3,18,0,18,18,0,18
Baby_Camz1,Baby_Camz1,,1,0.000246,3,4,0,4,4,0,4
Alexand87458731,Alexand87458731,,1,0.000438,3,9,0,9,9,0,9
luccas_n_ligo,luccas_n_ligo,,1,0.000395,3,12,0,12,12,0,12
ItsVanQueiroz,ItsVanQueiroz,,1,0.003339,3,66,0,66,67,0,67
sanjosemerinero,sanjosemerinero,,0,0.000039,45,0,0,0,0,0,0
ALSA_Autobuses,ALSA_Autobuses,,0,0.000072,45,0,0,0,0,0,0
ElVaga_Mundos,ElVaga_Mundos,,6,0.000068,3,0,1,1,0,1,1
GhostMissingGD,GhostMissingGD,,6,0.000068,3,0,1,1,0,1,1
AdvySuspendido,AdvySuspendido,,6,0.00288,3,49,0,49,49,0,49
SimonSchmi23,SimonSchmi23,,0,0.000039,46,0,0,0,0,0,0
AxelTelzerow,AxelTelzerow,,0,0.000075,46,0,0,0,0,0,0
josuegarcia600,josuegarcia600,,0,0.000039,47,0,0,0,0,0,0
andreamart92,andreamart92,,0,0.000138,47,0,0,0,0,0,0
fabiodaniel27,fabiodaniel27,,1,0.000068,3,0,1,1,0,1,1
Tru7hS33kR,Tru7hS33kR,,0,0.000039,48,0,0,0,0,0,0
Conqy,Conqy,,0,0.000039,49,0,0,0,0,0,0
IAmGryphoneer,IAmGryphoneer,,0,0.000072,49,0,0,0,0,0,0
FrancisAnny,FrancisAnny,,0,0.000039,50,0,0,0,0,0,0
WednesdayAndNik,WednesdayAndNik,,0,0.000105,50,0,0,0,0,0,0
DayGloSunset,DayGloSunset,,0,0.000039,51,0,0,0,0,0,0
BeingScots,BeingScots,,0,0.000171,51,0,0,0,0,0,0
ubhutibae,ubhutibae,,7,0.000068,3,0,6,6,0,6,6
AfricanBlackAsa,AfricanBlackAsa,,7,0.023513,3,134,1,135,134,1,135
AirtimeData,AirtimeData,,7,0.001819,3,36,3,39,39,3,42
felizkrennews,felizkrennews,,7,0.000078,3,1,0,1,1,0,1
Moss_Maluleke,Moss_Maluleke,,7,0.000078,3,1,0,1,1,0,1
LetsoaloLourenc,LetsoaloLourenc,,7,0.001849,3,46,0,46,46,0,46
venda_soul,venda_soul,,7,0.000078,3,1,0,1,1,0,1
falomesmuo,falomesmuo,,1,0.000068,3,0,1,1,0,1,1
F_a_r_r_a_h_,F_a_r_r_a_h_,,7,0.000068,3,0,1,1,0,1,1
Geluchi,Geluchi,,0,0.000039,28,0,0,0,0,0,0
Larissammar,Larissammar,,1,0.000068,3,0,1,1,0,1,1
Hypohamish,Hypohamish,,0,0.000039,52,0,0,0,0,0,0
wil_je_suis,wil_je_suis,,0,0.000236,52,0,0,0,0,0,0
NondabaFx,NondabaFx,,0,0.000039,53,0,0,0,0,0,0
225asap,225asap,,7,0.000068,3,0,1,1,0,1,1
Roberta_zanardo,Roberta_zanardo,,1,0.000068,3,0,1,1,0,1,1
rezamahmoudii,rezamahmoudii,,0,0.000039,54,0,0,0,0,0,0
mysazito,mysazito,,0,0.000171,54,0,0,0,0,0,0
SGDToddJ,SGDToddJ,,0,0.000039,55,0,0,0,0,0,0
seedgenetics,seedgenetics,,0,0.000072,55,0,0,0,0,0,0
Alex_Lomb78,Alex_Lomb78,,0,0.000039,56,0,0,0,0,0,0
Nicks981,Nicks981,,0,0.000269,56,0,0,0,0,0,0
masicenta,masicenta,,1,0.000068,3,0,1,1,0,1,1
Andrews__1987,Andrews__1987,,1,0.001553,3,40,0,40,40,0,40
JochenStrausz,JochenStrausz,,0,0.000039,23,0,0,0,0,0,0
llytaeh_,llytaeh_,,1,0.000068,3,0,1,1,0,1,1
alinsouza96,alinsouza96,,1,0.007498,3,156,0,156,157,0,157
backtoallen,backtoallen,,0,0.000039,57,0,0,0,0,0,0
Gabino_Iglesias,Gabino_Iglesias,,0,0.001314,57,0,0,0,0,0,0
schiri1,schiri1,,0,0.000039,58,0,0,0,0,0,0
podem_cat,podem_cat,,0,0.000171,58,0,0,0,0,0,0
LoriPerkinsRAB,LoriPerkinsRAB,,7,0.000068,3,0,1,1,0,1,1
yejnes,yejnes,,0,0.000039,59,0,0,0,0,0,0
ariodzernbc6,ariodzernbc6,,0,0.000171,59,0,0,0,0,0,0
TheMcLeanShow,TheMcLeanShow,,7,0.000068,3,0,1,1,0,1,1
centrepointuk,centrepointuk,,7,0.004267,3,81,0,81,81,0,81
miketoons,miketoons,,0,0.000039,60,0,0,0,0,0,0
KatyRoseSmith,KatyRoseSmith,,0,0.000302,60,0,0,0,0,0,0
RandyRosanbalm,RandyRosanbalm,,0,0.000039,61,0,0,0,0,0,0
JBurfordChevy,JBurfordChevy,,0,0.000105,61,0,0,0,0,0,0
WatsonsVintage,WatsonsVintage,,0,0.000039,62,0,0,0,0,0,0
Boondockfinds,Boondockfinds,,0,0.000142,62,0,0,0,0,0,0
ToonyGoons,ToonyGoons,,7,0.000068,3,0,1,1,0,1,1
gm_ache,gm_ache,,0,0.000039,63,0,0,0,0,0,0
tercerainfo3i,tercerainfo3i,,0,0.000171,63,0,0,0,0,0,0
Bryan96657304,Bryan96657304,,0,0.000039,64,0,0,0,0,0,0
SVanDHagen,SVanDHagen,,0,0.000072,64,0,0,0,0,0,0
jocelyn528,jocelyn528,,7,0.000068,3,0,1,1,0,1,1
MikeyCann,MikeyCann,,0,0.000068,3,0,1,1,0,1,1
fuelpovertyguru,fuelpovertyguru,,4,0.000068,3,0,2,2,0,2,2
AllThingsMarx,AllThingsMarx,,4,0.001199,3,21,0,21,21,0,21
natlibscot,natlibscot,,7,0.003017,3,62,0,62,62,0,62
Tricinhaaa,Tricinhaaa,,0,0.000039,65,0,0,0,0,0,0
gshow,gshow,,0,0.000335,65,0,0,0,0,0,0
EmeEmeLula,EmeEmeLula,,1,0.000068,3,0,1,1,0,1,1
MCSTVSPORTS,MCSTVSPORTS,,0,0.000039,61,0,0,0,0,0,0
villani_e,villani_e,,0,0.000039,66,0,0,0,0,0,0
Alitalia,Alitalia,,0,0.000072,66,0,0,0,0,0,0
daniambiental,daniambiental,,1,0.000068,3,0,1,1,0,1,1
ThePlanetMark,ThePlanetMark,,0,0.000039,67,0,0,0,0,0,0
BywatersUK,BywatersUK,,0,0.000072,67,0,0,0,0,0,0
rgaset1,rgaset1,,2,0.000068,3,0,1,1,0,1,1
real_Raffie,real_Raffie,,0,0.000039,68,0,0,0,0,0,0
madretsma1,madretsma1,,0,0.000072,68,0,0,0,0,0,0
AndreaWahbe,AndreaWahbe,,7,0.000068,3,0,1,1,0,1,1
Gambit896,Gambit896,,0,0.000039,69,0,0,0,0,0,0
GOGcom,GOGcom,,0,0.000566,69,0,0,0,0,0,0
OmarX98,OmarX98,,0,0.000039,70,0,0,0,0,0,0
JoeCanada72,JoeCanada72,,0,0.000171,70,0,0,0,0,0,0
FOX5Atlanta,FOX5Atlanta,,0,0.000039,71,0,0,0,0,0,0
PortiaFOX5,PortiaFOX5,,0,0.000138,71,0,0,0,0,0,0
SFJ_Jatinder,SFJ_Jatinder,,0,0.000039,72,0,0,0,0,0,0
SFJ_Pannun,SFJ_Pannun,,0,0.000072,72,0,0,0,0,0,0
jackmeo75978912,jackmeo75978912,,0,0.000068,3,0,1,1,0,1,1
LaSalleSanJose,LaSalleSanJose,,0,0.000039,73,0,0,0,0,0,0
proydeand,proydeand,,0,0.000072,73,0,0,0,0,0,0
alonsoian1,alonsoian1,,0,0.000039,74,0,0,0,0,0,0
acuervomont,acuervomont,,0,0.000138,74,0,0,0,0,0,0
BirthdayNamjoon,BirthdayNamjoon,,0,0.000039,75,0,0,0,0,0,0
DjNewSouthAfric,DjNewSouthAfric,,0,0.000418,75,0,0,0,0,0,0
kwazi15160597,kwazi15160597,,7,0.000068,3,0,1,1,0,1,1
ANDRELRT1990,ANDRELRT1990,,1,0.000068,3,0,1,1,0,1,1
Lidia_jerez,Lidia_jerez,,0,0.000039,76,0,0,0,0,0,0
JupolNacional,JupolNacional,,0,0.00157,76,0,0,0,0,0,0
OuraniaSeven,OuraniaSeven,,7,0.000068,3,0,2,2,0,2,2
GreenpeaceUK,GreenpeaceUK,,7,0.00065,3,13,0,13,13,0,13
Adolf15505764,Adolf15505764,,7,0.000068,3,0,1,1,0,1,1
pjschrenk,pjschrenk,,7,0.000068,3,0,1,1,0,1,1
utlaegr,utlaegr,,0,0.000039,5,0,0,0,0,0,0
abd_djorbo,abd_djorbo,,7,0.000068,3,0,1,1,0,1,1
tomasjmm,tomasjmm,,0,0.000039,77,0,0,0,0,0,0
FrayAbeldeJesus,FrayAbeldeJesus,,0,0.000072,77,0,0,0,0,0,0
astroman78,astroman78,,0,0.000039,78,0,0,0,0,0,0
maldiniC4,maldiniC4,,0,0.000072,78,0,0,0,0,0,0
SirPhilJeremy,SirPhilJeremy,,7,0.000068,3,0,1,1,0,1,1
MicheleColatru1,MicheleColatru1,,0,0.000039,23,0,0,0,0,0,0
gallogasss,gallogasss,,4,0.000068,3,0,1,1,0,1,1
starlightmontra,starlightmontra,,0,0.000039,79,0,0,0,0,0,0
thallesdcastro,thallesdcastro,,1,0.000068,3,0,2,2,0,2,2
hotandperry,hotandperry,,1,0.001773,3,41,0,41,41,0,41
TioChunnda,TioChunnda,,1,0.000387,3,7,0,7,7,0,7
todopormiperro,todopormiperro,,6,0.000068,3,0,1,1,0,1,1
pup_pesky,pup_pesky,,0,0.000039,80,0,0,0,0,0,0
bad_dragon,bad_dragon,,0,0.000203,80,0,0,0,0,0,0
DanTheMan1869,DanTheMan1869,,0,0.000068,3,0,1,1,0,1,1
thrustmidaddy,thrustmidaddy,,7,0.000068,3,0,1,1,0,1,1
Comoespecie,Comoespecie,,6,0.000068,3,0,1,1,0,1,1
navah74,navah74,,0,0.000039,81,0,0,0,0,0,0
Holybasiltea2,Holybasiltea2,,7,0.000068,3,0,1,1,0,1,1
aff_gy,aff_gy,,1,0.000068,3,0,1,1,0,1,1
SOLABRIA,SOLABRIA,,0,0.000039,63,0,0,0,0,0,0
AMajor_THD,AMajor_THD,,0,0.000039,82,0,0,0,0,0,0
thd6315,thd6315,,0,0.000072,82,0,0,0,0,0,0
CameronGreen10,CameronGreen10,,0,0.000068,3,0,1,1,0,1,1
gournakisp,gournakisp,,5,0.000068,3,0,2,2,0,2,2
DimitrisSotiri2,DimitrisSotiri2,,5,0.000633,3,12,2,14,12,2,14
abourahmen,abourahmen,,4,0.000068,3,0,1,1,0,1,1
TheRedCommune,TheRedCommune,,0,0.000039,83,0,0,0,0,0,0
Liebig34Liebig,Liebig34Liebig,,0,0.000072,83,0,0,0,0,0,0
media_mud,media_mud,,7,0.000068,3,0,1,1,0,1,1
arcadetavern,arcadetavern,,7,0.000185,3,3,0,3,3,0,3
daniellewilsxn,daniellewilsxn,,0,0.000068,3,0,1,1,0,1,1
Thuly__,Thuly__,,7,0.000068,3,0,1,1,0,1,1
mash_iie,mash_iie,,7,0.000226,3,5,0,5,5,0,5
phildelves,phildelves,,0,0.000039,84,0,0,0,0,0,0
henbyde,henbyde,,0,0.000072,84,0,0,0,0,0,0
BurchettVogler,BurchettVogler,,0,0.000039,85,0,0,0,0,0,0
RichmondLibs,RichmondLibs,,0,0.000072,85,0,0,0,0,0,0
CryptoRichYT,CryptoRichYT,,0,0.000039,86,0,0,0,0,0,0
etngiftcards,etngiftcards,,0,0.000072,86,0,0,0,0,0,0
bisoutee,bisoutee,,3,0.000068,3,0,1,1,0,1,1
margarytayta,margarytayta,,0,0.000039,87,0,0,0,0,0,0
CFAgoneyGalicia,CFAgoneyGalicia,,0,0.000248,87,0,0,0,0,0,0
SpeakEazzy49,SpeakEazzy49,,7,0.000068,3,0,1,1,0,1,1
XolaMolotsi,XolaMolotsi,,7,0.000126,3,1,1,2,1,2,3
Anageos15,Anageos15,,0,0.000039,88,0,0,0,0,0,0
white_rabbit79,white_rabbit79,,0,0.000072,88,0,0,0,0,0,0
king_batman87,king_batman87,,0,0.000039,89,0,0,0,0,0,0
aquicupons,aquicupons,,0,0.000401,89,0,0,0,0,0,0
JJT,JJT,,7,0.000068,3,0,1,1,0,1,1
Sal_Gnu,Sal_Gnu,,7,0.000068,3,0,1,1,0,1,1
Shopify,Shopify,,7,0.003477,3,50,0,50,53,0,53
VkrmSS64,VkrmSS64,,0,0.000039,90,0,0,0,0,0,0
SarojMi86385397,SarojMi86385397,,0,0.000072,90,0,0,0,0,0,0
NEFECTO,NEFECTO,,0,0.000039,91,0,0,0,0,0,0
ruiztaboada,ruiztaboada,,0,0.000072,91,0,0,0,0,0,0
purepur02899808,purepur02899808,,0,0.000039,92,0,0,0,0,0,0
KruPMui,KruPMui,,0,0.000615,92,0,0,0,0,0,0
LeonHain,LeonHain,,0,0.000039,93,0,0,0,0,0,0
WummsSportshow,WummsSportshow,,0,0.000187,93,0,0,0,0,0,0
jbowlesnyc,jbowlesnyc,,7,0.000068,3,0,1,1,0,1,1
metaalarbeider,metaalarbeider,,0,0.000039,94,0,0,0,0,0,0
NYTArchives,NYTArchives,,0,0.000072,94,0,0,0,0,0,0
bosio7,bosio7,,0,0.000039,31,0,0,0,0,0,0
Export2Brazil,Export2Brazil,,0,0.000039,95,0,0,0,0,0,0
EmbaixadaEUA,EmbaixadaEUA,,0,0.000072,95,0,0,0,0,0,0
Asquitopais,Asquitopais,,6,0.000068,3,0,1,1,0,1,1
ellahoward271,ellahoward271,,7,0.000068,3,0,1,1,0,1,1
JayChpJones,JayChpJones,,7,0.003692,3,64,1,65,76,1,77
SheriffMapimele,SheriffMapimele,,7,0.000068,3,0,1,1,0,1,1
Barbara82566574,Barbara82566574,,6,0.000068,3,0,1,1,0,1,1
muhr_billy,muhr_billy,,7,0.000068,3,0,1,1,0,1,1
its_hammadrabiu,its_hammadrabiu,,7,0.005192,3,94,0,94,99,0,99
johnheyes,johnheyes,,3,0.000068,3,0,1,1,0,1,1
ZacLangford,ZacLangford,,7,0.000068,3,0,1,1,0,1,1
BeautifulMonti,BeautifulMonti,,0,0.000039,96,0,0,0,0,0,0
_BetseyJohnson_,_BetseyJohnson_,,0,0.000072,96,0,0,0,0,0,0
only_boni,only_boni,,7,0.000068,3,0,1,1,0,1,1
KaryGmez5,KaryGmez5,,6,0.000068,3,0,1,1,0,1,1
raytranlazo,raytranlazo,,6,0.000068,3,0,1,1,0,1,1
avalilbitovdat,avalilbitovdat,,6,0.001286,3,22,0,22,22,0,22
_Just_man_,_Just_man_,,6,0.000068,3,0,1,1,0,1,1
EstrabaoOT5,EstrabaoOT5,,1,0.000068,3,0,1,1,0,1,1
TshidiBaby_,TshidiBaby_,,7,0.000068,3,0,1,1,0,1,1
MoDawnWriter,MoDawnWriter,,0,0.000039,97,0,0,0,0,0,0
JoshuaWOffical,JoshuaWOffical,,0,0.000072,97,0,0,0,0,0,0
CoventryFor,CoventryFor,,7,0.000068,3,0,1,1,0,1,1
Ncs_88,Ncs_88,,1,0.000068,3,0,1,1,0,1,1
bmvit_infothek,bmvit_infothek,,4,0.000068,3,0,1,1,0,1,1
