Id,Label,timeset,modularity_class,pageranks,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
Angela_s_tweets,Angela_s_tweets,,3,0.000068,3,0,1,1,0,1,1
antara_oruganti,antara_oruganti,,0,0.000039,824,0,0,0,0,0,0
The__SadieRyan,The__SadieRyan,,0,0.000072,824,0,0,0,0,0,0
JeRacomms,JeRacomms,,0,0.000039,825,0,0,0,0,0,0
BabyButterZAR,BabyButterZAR,,0,0.000072,825,0,0,0,0,0,0
Benjamingexx,Benjamingexx,,0,0.000068,3,0,1,1,0,1,1
Denise74635942,Denise74635942,,1,0.000068,3,0,1,1,0,1,1
TefaOrling,TefaOrling,,1,0.000068,3,0,1,1,0,1,1
SMLauri,SMLauri,,0,0.000039,117,0,0,0,0,0,0
SachaTornet,SachaTornet,,0,0.000039,223,0,0,0,0,0,0
ihtrouxa,ihtrouxa,,1,0.000068,3,0,1,1,0,1,1
McRhym,McRhym,,7,0.000068,3,0,1,1,0,1,1
jaaaaaaaaayD,jaaaaaaaaayD,,0,0.000068,3,0,1,1,0,1,1
markzwol,markzwol,,0,0.000039,654,0,0,0,0,0,0
tuxamartin,tuxamartin,,0,0.000068,3,0,1,1,0,1,1
datbuoyGee,datbuoyGee,,7,0.000068,3,0,2,2,0,2,2
d2rren,d2rren,,0,0.000068,3,0,1,1,0,1,1
lamplark,lamplark,,0,0.000039,826,0,0,0,0,0,0
FutureLearn,FutureLearn,,0,0.000072,826,0,0,0,0,0,0
noel_isidore,noel_isidore,,0,0.000039,827,0,0,0,0,0,0
bajabiri,bajabiri,,0,0.000105,827,0,0,0,0,0,0
luiz_kich,luiz_kich,,1,0.000068,3,0,1,1,0,1,1
realitygirliee,realitygirliee,,7,0.000068,3,0,1,1,0,1,1
HodderShal,HodderShal,,3,0.000068,3,0,1,1,0,1,1
Schlotgee,Schlotgee,,1,0.000068,3,0,1,1,0,1,1
siobhantillyer,siobhantillyer,,0,0.000068,3,0,1,1,0,1,1
ElusiveIllusion,ElusiveIllusion,,7,0.000068,3,0,1,1,0,1,1
babyquiltlady,babyquiltlady,,0,0.000072,828,0,0,0,0,0,0
KimPatt1968,KimPatt1968,,0,0.000133,828,0,0,0,0,0,0
TheRoadee,TheRoadee,,0,0.000039,829,0,0,0,0,0,0
cmpstudiosuk,cmpstudiosuk,,0,0.000105,829,0,0,0,0,0,0
moitherezi,moitherezi,,7,0.000068,3,0,2,2,0,2,2
ELPRODUCTOR_08,ELPRODUCTOR_08,,6,0.000068,3,0,1,1,0,1,1
SalmanMiah,SalmanMiah,,0,0.000039,830,0,0,0,0,0,0
kmaalerts,kmaalerts,,0,0.000072,830,0,0,0,0,0,0
RobbyMarkeson,RobbyMarkeson,,3,0.000068,3,0,1,1,0,1,1
annac_pereira,annac_pereira,,1,0.000068,3,0,1,1,0,1,1
paxplon,paxplon,,1,0.000068,3,0,2,2,0,2,2
aelingranger,aelingranger,,1,0.000068,3,0,1,1,0,1,1
helshka_k,helshka_k,,4,0.000068,3,0,1,1,0,1,1
ImpeccableLlama,ImpeccableLlama,,0,0.000068,3,0,1,1,0,1,1
swimdeepsam,swimdeepsam,,0,0.000068,3,0,1,1,0,1,1
anitra_larae,anitra_larae,,7,0.000068,3,0,1,1,0,1,1
Y24811,Y24811,,0,0.000039,831,0,0,0,0,0,0
arileitner,arileitner,,0,0.000072,831,0,0,0,0,0,0
CToroSalas,CToroSalas,,0,0.000039,832,0,0,0,0,0,0
RuLO031,RuLO031,,0,0.000105,832,0,0,0,0,0,0
festivalsottawa,festivalsottawa,,0,0.000039,833,0,0,0,0,0,0
VivezlaCapitale,VivezlaCapitale,,0,0.000072,833,0,0,0,0,0,0
Gigabit_101,Gigabit_101,,0,0.000039,834,0,0,0,0,0,0
CreeperHost,CreeperHost,,0,0.000138,834,0,0,0,0,0,0
toma27812603,toma27812603,,0,0.000068,3,0,1,1,0,1,1
HowardKirk11,HowardKirk11,,0,0.000039,835,0,0,0,0,0,0
SPORTSBIKESHOP,SPORTSBIKESHOP,,0,0.000072,835,0,0,0,0,0,0
fallenforcam,fallenforcam,,1,0.000068,3,0,1,1,0,1,1
SorenElder,SorenElder,,7,0.000068,3,0,1,1,0,1,1
OttawaFestivals,OttawaFestivals,,0,0.000039,836,0,0,0,0,0,0
capital_exp,capital_exp,,0,0.000072,836,0,0,0,0,0,0
sheila_graham,sheila_graham,,0,0.000039,60,0,0,0,0,0,0
DrJekyllyMrYo,DrJekyllyMrYo,,6,0.000068,3,0,1,1,0,1,1
kazybott,kazybott,,0,0.000039,837,0,0,0,0,0,0
NoHesi10,NoHesi10,,0,0.000072,837,0,0,0,0,0,0
pablo99_17,pablo99_17,,0,0.000039,117,0,0,0,0,0,0
jjskeffington,jjskeffington,,0,0.000039,838,0,0,0,0,0,0
InfoProMag,InfoProMag,,7,0.000068,3,0,1,1,0,1,1
SVelascoJimenez,SVelascoJimenez,,4,0.000068,3,0,1,1,0,1,1
angelbalont,angelbalont,,6,0.000068,3,0,1,1,0,1,1
alvesdo55816486,alvesdo55816486,,1,0.000068,3,0,1,1,0,1,1
willianfreitass,willianfreitass,,1,0.000358,3,6,0,6,6,0,6
fats_za,fats_za,,7,0.000068,3,0,1,1,0,1,1
jordnaloveschie,jordnaloveschie,,4,0.000068,3,0,1,1,0,1,1
CLeomanuelgmai2,CLeomanuelgmai2,,0,0.000039,839,0,0,0,0,0,0
rogueTrumpleaks,rogueTrumpleaks,,0,0.000072,839,0,0,0,0,0,0
mypagesandbrews,mypagesandbrews,,3,0.000068,3,0,1,1,0,1,1
ayshherh,ayshherh,,7,0.000068,3,0,1,1,0,1,1
VelvetMobius,VelvetMobius,,7,0.000068,3,0,2,2,0,2,2
Kevelinfernand3,Kevelinfernand3,,1,0.000068,3,0,1,1,0,1,1
Lightbulbs_Band,Lightbulbs_Band,,0,0.000039,616,0,0,0,0,0,0
ridenicotine,ridenicotine,,1,0.000068,3,0,1,1,0,1,1
BB21LiveFeeds,BB21LiveFeeds,,0,0.000039,840,0,0,0,0,0,0
LQuadros18,LQuadros18,,1,0.000068,3,0,1,1,0,1,1
lizacadena,lizacadena,,7,0.000068,3,0,1,1,0,1,1
Theo_mandy,Theo_mandy,,0,0.000039,194,0,0,0,0,0,0
penas_vitor,penas_vitor,,1,0.000068,3,0,1,1,0,1,1
_lindokuhle8,_lindokuhle8,,7,0.000068,3,0,2,2,0,2,2
sandhya29071994,sandhya29071994,,4,0.000068,3,0,1,1,0,1,1
RennieFlem,RennieFlem,,0,0.000068,3,0,1,1,0,1,1
djgreenhornet,djgreenhornet,,0,0.000039,841,0,0,0,0,0,0
MyDeadFriendz,MyDeadFriendz,,0,0.000138,841,0,0,0,0,0,0
Sound_Jame,Sound_Jame,,0,0.000068,3,0,1,1,0,1,1
lhmacfarlane,lhmacfarlane,,3,0.000068,3,0,1,1,0,1,1
BethBarkerLaws1,BethBarkerLaws1,,7,0.000068,3,0,1,1,0,1,1
MackhizZ,MackhizZ,,0,0.000039,439,0,0,0,0,0,0
Marjorie_Mallon,Marjorie_Mallon,,0,0.000039,842,0,0,0,0,0,0
PatFurstenberg,PatFurstenberg,,0,0.000072,842,0,0,0,0,0,0
tioguga_,tioguga_,,1,0.000068,3,0,1,1,0,1,1
PeeruntornS,PeeruntornS,,0,0.000039,92,0,0,0,0,0,0
elmalandr0,elmalandr0,,2,0.000068,3,0,1,1,0,1,1
heysoubabi,heysoubabi,,1,0.000068,3,0,1,1,0,1,1
GobletEcho184,GobletEcho184,,7,0.000068,3,0,2,2,0,2,2
RaUULuTB,RaUULuTB,,6,0.000068,3,0,1,1,0,1,1
VUKOSI_C,VUKOSI_C,,7,0.000068,3,0,1,1,0,1,1
hernan300491,hernan300491,,0,0.000039,843,0,0,0,0,0,0
Cheliio05,Cheliio05,,0,0.000072,843,0,0,0,0,0,0
Mjcrjdrvrsoonrf,Mjcrjdrvrsoonrf,,0,0.000039,511,0,0,0,0,0,0
crf_vellozo,crf_vellozo,,1,0.000068,3,0,1,1,0,1,1
StartingGateMkt,StartingGateMkt,,0,0.000039,746,0,0,0,0,0,0
lgomeix,lgomeix,,1,0.000068,3,0,2,2,0,2,2
Yasheki_Qs,Yasheki_Qs,,7,0.000068,3,0,1,1,0,1,1
Falatudelinhos,Falatudelinhos,,1,0.000068,3,0,3,3,0,3,3
Life_With_Nerds,Life_With_Nerds,,7,0.000068,3,0,4,4,0,4,4
jacklumb97,jacklumb97,,0,0.000068,3,0,1,1,0,1,1
EmerAFallon,EmerAFallon,,0,0.000039,844,0,0,0,0,0,0
MadsMcKeever,MadsMcKeever,,0,0.000105,844,0,0,0,0,0,0
ImDiegoCZ,ImDiegoCZ,,6,0.000068,3,0,1,1,0,1,1
jupitermoon,jupitermoon,,4,0.000068,3,0,1,1,0,1,1
fcgalleyslave,fcgalleyslave,,7,0.000068,3,0,1,1,0,1,1
huuBqTdBOeNhPns,huuBqTdBOeNhPns,,0,0.000039,768,0,0,0,0,0,0
AgamiSoupia,AgamiSoupia,,7,0.000068,3,0,2,2,0,2,2
wasay82974288,wasay82974288,,7,0.000068,3,0,1,1,0,1,1
brusouzacruz,brusouzacruz,,4,0.000068,3,0,1,1,0,1,1
arandomgamer02,arandomgamer02,,4,0.000068,3,0,1,1,0,1,1
onep7466,onep7466,,0,0.000039,845,0,0,0,0,0,0
shweta3595,shweta3595,,0,0.000055,845,0,0,0,0,0,0
dadeen__,dadeen__,,7,0.000068,3,0,1,1,0,1,1
___essie,___essie,,7,0.000068,3,0,1,1,0,1,1
deejangale,deejangale,,7,0.000068,3,0,1,1,0,1,1
cupid4cool,cupid4cool,,7,0.000068,3,0,1,1,0,1,1
Mouse_Mat,Mouse_Mat,,0,0.000068,3,0,1,1,0,1,1
reddiesoft,reddiesoft,,0,0.000039,196,0,0,0,0,0,0
Unknownninja110,Unknownninja110,,7,0.000068,3,0,1,1,0,1,1
Marcelobagata18,Marcelobagata18,,1,0.000068,3,0,1,1,0,1,1
PDiazcruz,PDiazcruz,,7,0.000068,3,0,1,1,0,1,1
HeineKapp,HeineKapp,,7,0.000249,3,4,0,4,4,0,4
mxlenav,mxlenav,,1,0.000068,3,0,1,1,0,1,1
JLuccaMenezes,JLuccaMenezes,,1,0.000068,3,0,1,1,0,1,1
IA_282,IA_282,,7,0.000068,3,0,1,1,0,1,1
Gustandoo,Gustandoo,,1,0.000068,3,0,1,1,0,1,1
Abhishek_Jani_,Abhishek_Jani_,,0,0.000039,182,0,0,0,0,0,0
MikeDwyerMike,MikeDwyerMike,,0,0.000039,177,0,0,0,0,0,0
jonesjonah85,jonesjonah85,,3,0.000068,3,0,1,1,0,1,1
SheenaMc_,SheenaMc_,,3,0.000068,3,0,1,1,0,1,1
MPSSutton,MPSSutton,,0,0.000039,846,0,0,0,0,0,0
ElecSafetyFirst,ElecSafetyFirst,,0,0.000231,846,0,0,0,0,0,0
estandarte_tips,estandarte_tips,,0,0.000039,375,0,0,0,0,0,0
Lamamii15,Lamamii15,,0,0.000039,89,0,0,0,0,0,0
A_dona_fodase,A_dona_fodase,,1,0.000068,3,0,3,3,0,3,3
Leeriat,Leeriat,,7,0.000068,3,0,1,1,0,1,1
Turner_Storm,Turner_Storm,,0,0.000039,847,0,0,0,0,0,0
theRealDKEfect,theRealDKEfect,,0,0.000105,847,0,0,0,0,0,0
JogaSete7,JogaSete7,,0,0.000039,196,0,0,0,0,0,0
AmeowzingKili,AmeowzingKili,,6,0.000068,3,0,1,1,0,1,1
Tonatihu_Arias,Tonatihu_Arias,,4,0.000068,3,0,1,1,0,1,1
leila_liz,leila_liz,,1,0.000068,3,0,1,1,0,1,1
ddfhcals,ddfhcals,,1,0.000068,3,0,1,1,0,1,1
